zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,State,Zipcode,Latitude,Longitude,Broker Name,is zillow owned,Sold Date,Sold Price,Image URL
61236630,FOR_SALE,House for sale,,399987,1476,271,398700,270,1845,3484.8,sqft,3,3,"6058 Ambleshire Ave, Las Vegas, NV 89139",6058 Ambleshire Ave,Las Vegas,NV,89139,36.047195,-115.22463,Trifecta Realty & Property Mgt,FALSE,,,https://photos.zillowstatic.com/fp/9f5b04ffeb2840651b40ee44f276320f-p_e.jpg
79879488,FOR_SALE,Foreclosure,,699998,3558,197,,,3484,6098.4,sqft,5,4,"10052 Baystone St, Las Vegas, NV 89141",10052 Baystone St,Las Vegas,NV,89141,36.00699,-115.2092,RE/MAX Legacy,FALSE,,,https://photos.zillowstatic.com/fp/c69f3f59b7fb0ceb48c4ab189c229b7f-p_e.jpg
63328732,FOR_SALE,House for sale,,489999,1829,268,483800,265,2149,3484.8,sqft,3,3,"261 Broken Par Dr, Las Vegas, NV 89148",261 Broken Par Dr,Las Vegas,NV,89148,36.04317,-115.29505,More Realty Incorporated,FALSE,,,https://photos.zillowstatic.com/fp/ae52c4d7553176bdd1501f4af2dd8af6-p_e.jpg
243074109,FOR_SALE,House for sale,,1299998,3952,329,1270300,321,6638,7840.8,sqft,6,5,"3927 Montone Ave, Las Vegas, NV 89141",3927 Montone Ave,Las Vegas,NV,89141,35.959995,-115.19227,Signature Real Estate Group,FALSE,,,https://photos.zillowstatic.com/fp/7dc034ded894ac11eaaaa9b1ead65cdb-p_e.jpg
112461407,FOR_SALE,House for sale,,949000,4014,236,931300,232,5992,8276.4,sqft,4,3,"7821 Brianna Cheerful Ave, Las Vegas, NV 89178",7821 Brianna Cheerful Ave,Las Vegas,NV,89178,36.01009,-115.262344,Simply Vegas,FALSE,,,https://photos.zillowstatic.com/fp/b9ff8438073947999266fd0a11fb3ca5-p_e.jpg
141586918,FOR_SALE,House for sale,,1899000,3643,521,1830200,502,3809,9583.2,sqft,4,4,"4078 San Franchesca Ct, Las Vegas, NV 89141",4078 San Franchesca Ct,Las Vegas,NV,89141,35.984154,-115.194466,IS Luxury,FALSE,,,https://photos.zillowstatic.com/fp/1c961aca431d7d5fcb27123399ca5ff3-p_e.jpg
124177883,FOR_SALE,House for sale,,823999,4147,199,,,,4356,sqft,5,5,"8348 Langhorne Creek St, Las Vegas, NV 89139",8348 Langhorne Creek St,Las Vegas,NV,89139,36.0373,-115.23028,HomeSmart Encore,FALSE,,,https://photos.zillowstatic.com/fp/2303647fc518621ab978baff85898f57-p_e.jpg
89066339,FOR_SALE,House for sale,,475000,1714,277,,,,3920.4,sqft,3,3,"284 Trailing Putt Way, Las Vegas, NV 89148",284 Trailing Putt Way,Las Vegas,NV,89148,36.041187,-115.29557,"Huntington & Ellis, A Real Est",FALSE,,,https://photos.zillowstatic.com/fp/54cc0a1687841b30e69f6337235d0990-p_e.jpg
141741974,FOR_SALE,House for sale,,524950,2225,236,523800,235,2343,3920.4,sqft,4,3,"10472 Blue Rock St, Las Vegas, NV 89178",10472 Blue Rock St,Las Vegas,NV,89178,35.99932,-115.24938,Compass Realty & Management,FALSE,,,https://photos.zillowstatic.com/fp/8a1eb4afca19232bab66d10390c7bd90-p_e.jpg
352342562,FOR_SALE,New construction,,,,,,,2576,,sqft,,,"Homes Available Soon, Spectrum Falls","Homes Available Soon, Spectrum Falls",Las Vegas,NV,89141,36.00738,-115.2006,,FALSE,,,https://photos.zillowstatic.com/fp/5a32a4d830abe75857197e4672511fc8-p_e.jpg
337619917,FOR_SALE,House for sale,,2290000,4325,529,,,,0.51,acres,4,4,"7590 Sky Horse Ave, Las Vegas, NV 89113",7590 Sky Horse Ave,Las Vegas,NV,89113,36.027233,-115.25644,Simply Vegas,FALSE,,,https://photos.zillowstatic.com/fp/aca8ade427aafe05d209ba021f337fe1-p_e.jpg
351376815,FOR_SALE,New construction,,452990,2226,203,452700,203,2530,,,3,3,"Plan 2226 Modeled Plan, Cameron Heights","Plan 2226 Modeled Plan, Cameron Heights",Las Vegas,NV,89141,36.002544,-115.2035,,FALSE,,,https://photos.zillowstatic.com/fp/bc6122787353eecd67205ed4e5dc758d-p_e.jpg
123487258,FOR_SALE,House for sale,,459900,1924,239,456100,237,2002,3049.2,sqft,3,3,"6949 Town Forest Ave, Las Vegas, NV 89179",6949 Town Forest Ave,Las Vegas,NV,89179,35.99581,-115.24445,Century 21 1st Priority Realty,FALSE,,,https://photos.zillowstatic.com/fp/4a2dc5c59ad9a3a8f0dd8d5104b4ea3d-p_e.jpg
123487805,FOR_SALE,House for sale,,469999,1763,267,,,,3049.2,sqft,3,3,"10574 Siesta Key St, Las Vegas, NV 89141",10574 Siesta Key St,Las Vegas,NV,89141,35.997086,-115.23354,The Agency Las Vegas,FALSE,,,https://photos.zillowstatic.com/fp/3a7d6bd823eba80553f0574af99e5ec1-p_e.jpg
